filename,extension,relative_path,file_size_bytes,readable,width,height,aspect_ratio,mode,channels,format,sha256,anomalies,class_name,dataset_name,dataset_role,sample_id,mask_path
BACTERAILBLIGHT3_001.jpg,.jpg,Bacterialblight/BACTERAILBLIGHT3_001.jpg,19723,True,300,300,1.0,RGB,3,JPEG,44176ead560d5712fe3fb249eea463f3e704a0ae6115bbf33ee7a146ada4e84e,,Bacterialblight,Sethy_Rice_Leaf_Disease,EXTERNAL_DATASET,SETHY_000000,D:\BTech Final Year Project\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\Rice_Leaf_Disease_Segmentation_Masks\mask-vesrion1\Bacterialblight\BACTERAILBLIGHT3_001.jpg
BACTERAILBLIGHT3_002.jpg,.jpg,Bacterialblight/BACTERAILBLIGHT3_002.jpg,17976,True,300,300,1.0,RGB,3,JPEG,32314fd3cb936cb18daeaf897e2f7ae1aab85d8386a7af7e9d40b41f2f0dfb39,,Bacterialblight,Sethy_Rice_Leaf_Disease,EXTERNAL_DATASET,SETHY_000001,D:\BTech Final Year Project\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\Rice_Leaf_Disease_Segmentation_Masks\mask-vesrion1\Bacterialblight\BACTERAILBLIGHT3_002.jpg
BACTERAILBLIGHT3_003.jpg,.jpg,Bacterialblight/BACTERAILBLIGHT3_003.jpg,43100,True,300,300,1.0,RGB,3,JPEG,faff87c499c16b34c3518e6f681da088c80f26861b4e225c73e78c7c43966ba9,,Bacterialblight,Sethy_Rice_Leaf_Disease,EXTERNAL_DATASET,SETHY_000002,D:\BTech Final Year Project\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\Rice_Leaf_Disease_Segmentation_Masks\mask-vesrion1\Bacterialblight\BACTERAILBLIGHT3_003.jpg
BACTERAILBLIGHT3_004.jpg,.jpg,Bacterialblight/BACTERAILBLIGHT3_004.jpg,40083,True,300,300,1.0,RGB,3,JPEG,34d4368dcc36db27dc061ce63c585fdaf4a722972b820cf3438222af13b56b9b,,Bacterialblight,Sethy_Rice_Leaf_Disease,EXTERNAL_DATASET,SETHY_000003,D:\BTech Final Year Project\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\Rice_Leaf_Disease_Segmentation_Masks\mask-vesrion1\Bacterialblight\BACTERAILBLIGHT3_004.jpg
BACTERAILBLIGHT3_005.jpg,.jpg,Bacterialblight/BACTERAILBLIGHT3_005.jpg,35480,True,300,300,1.0,RGB,3,JPEG,95309e2163de6b7e793d7c633a73c6ac4df566be3126ff00a4aca00a3fc9ee7f,,Bacterialblight,Sethy_Rice_Leaf_Disease,EXTERNAL_DATASET,SETHY_000004,D:\BTech Final Year Project\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\Rice_Leaf_Disease_Segmentation_Masks\mask-vesrion1\Bacterialblight\BACTERAILBLIGHT3_005.jpg
BACTERAILBLIGHT3_006.jpg,.jpg,Bacterialblight/BACTERAILBLIGHT3_006.jpg,32893,True,300,300,1.0,RGB,3,JPEG,8c69cd8814b4a53179732f35104aa59fbb2366a3a5685299f030efac36ff40f2,,Bacterialblight,Sethy_Rice_Leaf_Disease,EXTERNAL_DATASET,SETHY_000005,D:\BTech Final Year Project\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\Rice_Leaf_Disease_Segmentation_Masks\mask-vesrion1\Bacterialblight\BACTERAILBLIGHT3_006.jpg
BACTERAILBLIGHT3_007.jpg,.jpg,Bacterialblight/BACTERAILBLIGHT3_007.jpg,35924,True,300,300,1.0,RGB,3,JPEG,ab69e91b3e589ee6c1f3803e3ff16fbf4c04fcbb474a04178d2763b2863dbdb6,,Bacterialblight,Sethy_Rice_Leaf_Disease,EXTERNAL_DATASET,SETHY_000006,D:\BTech Final Year Project\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\Rice_Leaf_Disease_Segmentation_Masks\mask-vesrion1\Bacterialblight\BACTERAILBLIGHT3_007.jpg
BACTERAILBLIGHT3_008.jpg,.jpg,Bacterialblight/BACTERAILBLIGHT3_008.jpg,33498,True,300,300,1.0,RGB,3,JPEG,f7d8a8a306988ccd09f6eb265051d4d58781d5fb442f0260d59b5463928eb8fc,,Bacterialblight,Sethy_Rice_Leaf_Disease,EXTERNAL_DATASET,SETHY_000007,D:\BTech Final Year Project\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\Rice_Leaf_Disease_Segmentation_Masks\mask-vesrion1\Bacterialblight\BACTERAILBLIGHT3_008.jpg
BACTERAILBLIGHT3_009.jpg,.jpg,Bacterialblight/BACTERAILBLIGHT3_009.jpg,33771,True,300,300,1.0,RGB,3,JPEG,8109d9db5f659e1eab5a078e93f3399f3235f7cef87a7e6e37d61611da3fb93c,,Bacterialblight,Sethy_Rice_Leaf_Disease,EXTERNAL_DATASET,SETHY_000008,D:\BTech Final Year Project\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\Rice_Leaf_Disease_Segmentation_Masks\mask-vesrion1\Bacterialblight\BACTERAILBLIGHT3_009.jpg
BACTERAILBLIGHT3_010.jpg,.jpg,Bacterialblight/BACTERAILBLIGHT3_010.jpg,31262,True,300,300,1.0,RGB,3,JPEG,071f5676e64d2f746b2928cfb3b6234480feb1c518be56d26d72cb845ad90d5b,,Bacterialblight,Sethy_Rice_Leaf_Disease,EXTERNAL_DATASET,SETHY_000009,D:\BTech Final Year Project\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\RiceSeg-5932 Complete Pixel-Level Segmentation Mas\Rice_Leaf_Disease_Segmentation_Masks\mask-vesrion1\Bacterialblight\BACTERAILBLIGHT3_010.jpg
