filename,extension,relative_path,file_size_bytes,readable,width,height,aspect_ratio,mode,channels,format,sha256,anomalies,class_name,dataset_name,dataset_role,sample_id,annotation_path,duplicate_group_id,is_duplicate,split
blast_100.jpg,.jpg,Annotated images ( visual with labels)/Blast/visuals/blast_100.jpg,402149,True,1024,1024,1.0,RGB,3,JPEG,70179ed2b7f90df1fb3e1999e722e6a939f2bb1b23adc257943a95b7a6d40e8f,,Blast,RiceLeafDiseaseBD,PRIMARY_DEVELOPMENT_DATASET,PRIMARY_000002,D:\BTech Final Year Project\RiceLeafDiseaseBD A Field-Based Annotated Smartpho\RiceLeafDiseaseBD A Field-Based Annotated Smartpho\RiceLeafDiseaseBD\RiceLeafDiseaseBD\Annotated images ( visual with labels)\Blast\labels\blast_100.txt,UNIQUE_GROUP_007827,False,calibration
blast_1006.jpg,.jpg,Annotated images ( visual with labels)/Blast/visuals/blast_1006.jpg,333378,True,1024,1024,1.0,RGB,3,JPEG,8d663c6cd2aaa2502dbda9b0b8e077f36dd7959e7b21ef10369323f7a3d4803c,,Blast,RiceLeafDiseaseBD,PRIMARY_DEVELOPMENT_DATASET,PRIMARY_000009,D:\BTech Final Year Project\RiceLeafDiseaseBD A Field-Based Annotated Smartpho\RiceLeafDiseaseBD A Field-Based Annotated Smartpho\RiceLeafDiseaseBD\RiceLeafDiseaseBD\Annotated images ( visual with labels)\Blast\labels\blast_1006.txt,UNIQUE_GROUP_009909,False,calibration
blast_1011.jpg,.jpg,Annotated images ( visual with labels)/Blast/visuals/blast_1011.jpg,330059,True,1024,1024,1.0,RGB,3,JPEG,4e0ad32e4ef4909d68b4313151e603ca8ebfce2173d5cb4e4a758617f6039fcd,,Blast,RiceLeafDiseaseBD,PRIMARY_DEVELOPMENT_DATASET,PRIMARY_000015,D:\BTech Final Year Project\RiceLeafDiseaseBD A Field-Based Annotated Smartpho\RiceLeafDiseaseBD A Field-Based Annotated Smartpho\RiceLeafDiseaseBD\RiceLeafDiseaseBD\Annotated images ( visual with labels)\Blast\labels\blast_1011.txt,UNIQUE_GROUP_005470,False,calibration
blast_102.jpg,.jpg,Annotated images ( visual with labels)/Blast/visuals/blast_102.jpg,323165,True,1024,1024,1.0,RGB,3,JPEG,05fe33fc6fd22f4a74145d2d300b66ceea2cb556f85a4120cb092c7308fd125b,,Blast,RiceLeafDiseaseBD,PRIMARY_DEVELOPMENT_DATASET,PRIMARY_000024,D:\BTech Final Year Project\RiceLeafDiseaseBD A Field-Based Annotated Smartpho\RiceLeafDiseaseBD A Field-Based Annotated Smartpho\RiceLeafDiseaseBD\RiceLeafDiseaseBD\Annotated images ( visual with labels)\Blast\labels\blast_102.txt,UNIQUE_GROUP_000397,False,calibration
blast_1029.jpg,.jpg,Annotated images ( visual with labels)/Blast/visuals/blast_1029.jpg,322034,True,1024,1024,1.0,RGB,3,JPEG,f86504a3fb89e4d447a8b015f534c6ef6162a2374826e6c8a7ad096ef8e64271,,Blast,RiceLeafDiseaseBD,PRIMARY_DEVELOPMENT_DATASET,PRIMARY_000034,D:\BTech Final Year Project\RiceLeafDiseaseBD A Field-Based Annotated Smartpho\RiceLeafDiseaseBD A Field-Based Annotated Smartpho\RiceLeafDiseaseBD\RiceLeafDiseaseBD\Annotated images ( visual with labels)\Blast\labels\blast_1029.txt,UNIQUE_GROUP_017305,False,calibration
blast_1041.jpg,.jpg,Annotated images ( visual with labels)/Blast/visuals/blast_1041.jpg,352998,True,1024,1024,1.0,RGB,3,JPEG,9b668bad930a61ef26d858598720eab71dbb2c125493828fdba31de35e2c5034,,Blast,RiceLeafDiseaseBD,PRIMARY_DEVELOPMENT_DATASET,PRIMARY_000048,D:\BTech Final Year Project\RiceLeafDiseaseBD A Field-Based Annotated Smartpho\RiceLeafDiseaseBD A Field-Based Annotated Smartpho\RiceLeafDiseaseBD\RiceLeafDiseaseBD\Annotated images ( visual with labels)\Blast\labels\blast_1041.txt,UNIQUE_GROUP_010884,False,calibration
blast_1048.jpg,.jpg,Annotated images ( visual with labels)/Blast/visuals/blast_1048.jpg,310188,True,1024,1024,1.0,RGB,3,JPEG,e01e2cfffa2826d3833354a684763510d1cb55680ff55bc2791627d2a263abaf,,Blast,RiceLeafDiseaseBD,PRIMARY_DEVELOPMENT_DATASET,PRIMARY_000055,D:\BTech Final Year Project\RiceLeafDiseaseBD A Field-Based Annotated Smartpho\RiceLeafDiseaseBD A Field-Based Annotated Smartpho\RiceLeafDiseaseBD\RiceLeafDiseaseBD\Annotated images ( visual with labels)\Blast\labels\blast_1048.txt,UNIQUE_GROUP_015649,False,calibration
blast_107.jpg,.jpg,Annotated images ( visual with labels)/Blast/visuals/blast_107.jpg,311051,True,1024,1024,1.0,RGB,3,JPEG,0dd80c40874e188c0766e596d81c6ccd82639aab11e4aee502bef4439323daa7,,Blast,RiceLeafDiseaseBD,PRIMARY_DEVELOPMENT_DATASET,PRIMARY_000079,D:\BTech Final Year Project\RiceLeafDiseaseBD A Field-Based Annotated Smartpho\RiceLeafDiseaseBD A Field-Based Annotated Smartpho\RiceLeafDiseaseBD\RiceLeafDiseaseBD\Annotated images ( visual with labels)\Blast\labels\blast_107.txt,UNIQUE_GROUP_000953,False,calibration
blast_1077.jpg,.jpg,Annotated images ( visual with labels)/Blast/visuals/blast_1077.jpg,319378,True,1024,1024,1.0,RGB,3,JPEG,001b90c7ebdc7af5b5491bf3e6bea90110c427ae5ec812ec9c6e25acef1579db,,Blast,RiceLeafDiseaseBD,PRIMARY_DEVELOPMENT_DATASET,PRIMARY_000087,D:\BTech Final Year Project\RiceLeafDiseaseBD A Field-Based Annotated Smartpho\RiceLeafDiseaseBD A Field-Based Annotated Smartpho\RiceLeafDiseaseBD\RiceLeafDiseaseBD\Annotated images ( visual with labels)\Blast\labels\blast_1077.txt,UNIQUE_GROUP_000008,False,calibration
blast_1081.jpg,.jpg,Annotated images ( visual with labels)/Blast/visuals/blast_1081.jpg,332142,True,1024,1024,1.0,RGB,3,JPEG,cf6db8454cda3459c495672c195d5116b415b2df3703d0447e5fd507e5a12290,,Blast,RiceLeafDiseaseBD,PRIMARY_DEVELOPMENT_DATASET,PRIMARY_000092,D:\BTech Final Year Project\RiceLeafDiseaseBD A Field-Based Annotated Smartpho\RiceLeafDiseaseBD A Field-Based Annotated Smartpho\RiceLeafDiseaseBD\RiceLeafDiseaseBD\Annotated images ( visual with labels)\Blast\labels\blast_1081.txt,UNIQUE_GROUP_014492,False,calibration
