filename,extension,relative_path,file_size_bytes,readable,width,height,aspect_ratio,mode,channels,format,sha256,anomalies,class_name,dataset_name,dataset_role
IMG20241103120555.jpg,.jpg,Blast/IMG20241103120555.jpg,5450,True,300,300,1.0,RGB,3,JPEG,977444a74c9c42575c4695ead68185e16a46e05fdae588ef65f501fcbab1f817,,Blast,RiceLeafDisease_BD5,EXTERNAL_FIELD_DATASET
IMG20241103120555_01.jpg,.jpg,Blast/IMG20241103120555_01.jpg,5581,True,300,300,1.0,RGB,3,JPEG,bec90cd0a96d3bfc7478e4899d6d9dbd8f440d6851332b359e581f7aa47c9b89,,Blast,RiceLeafDisease_BD5,EXTERNAL_FIELD_DATASET
IMG20241103120556.jpg,.jpg,Blast/IMG20241103120556.jpg,5530,True,300,300,1.0,RGB,3,JPEG,ff2faebc32724d0b18732602b9ed9b9dbe8603579da8f680ac4b4b2cfe89da6a,,Blast,RiceLeafDisease_BD5,EXTERNAL_FIELD_DATASET
IMG20241103120607.jpg,.jpg,Blast/IMG20241103120607.jpg,4594,True,300,300,1.0,RGB,3,JPEG,003c580528116860da7156b2281f8f5f996c9815c7c6df886235b75bbee2fc6f,,Blast,RiceLeafDisease_BD5,EXTERNAL_FIELD_DATASET
IMG20241103120608.jpg,.jpg,Blast/IMG20241103120608.jpg,4649,True,300,300,1.0,RGB,3,JPEG,1c181aa60a2434598bc8c3d396d12eb949022c32492f3dce4d07cb9d463da3e6,,Blast,RiceLeafDisease_BD5,EXTERNAL_FIELD_DATASET
IMG20241103120618.jpg,.jpg,Blast/IMG20241103120618.jpg,5420,True,300,300,1.0,RGB,3,JPEG,31d86162fddac7cbbf95702dc19fb33a95c8781c244afec7edef6f301c90a937,,Blast,RiceLeafDisease_BD5,EXTERNAL_FIELD_DATASET
IMG20241103120619.jpg,.jpg,Blast/IMG20241103120619.jpg,5416,True,300,300,1.0,RGB,3,JPEG,f4a60672f744cf444da8948f6f92e3d8bd0e8a06b14634d32a7a6f79ab9a0b6b,,Blast,RiceLeafDisease_BD5,EXTERNAL_FIELD_DATASET
IMG20241103120624.jpg,.jpg,Blast/IMG20241103120624.jpg,7982,True,300,300,1.0,RGB,3,JPEG,3a9fdc04f7d72e6661eafa6fb582e8cb225fb4f4268dd1ff66a551d6dbd78b88,,Blast,RiceLeafDisease_BD5,EXTERNAL_FIELD_DATASET
IMG20241103120624_01.jpg,.jpg,Blast/IMG20241103120624_01.jpg,7725,True,300,300,1.0,RGB,3,JPEG,d4cbdf0a44cc65bfdafe6d6484df12e0f1fbfcc4edf8b8dca97ae5395532d4d7,,Blast,RiceLeafDisease_BD5,EXTERNAL_FIELD_DATASET
IMG20241103120625.jpg,.jpg,Blast/IMG20241103120625.jpg,7648,True,300,300,1.0,RGB,3,JPEG,cb952ef5c1c8b6ec010901cc00a0ef740e9595b5cffec3580f34c23e7c8d8fc1,,Blast,RiceLeafDisease_BD5,EXTERNAL_FIELD_DATASET
